id,code,name,district_id/id
res_country_ward_000001,45327,Mỹ Lộc,res_country_district_00285
res_country_ward_000002,45328,Sơn Lộc,res_country_district_00285
res_country_ward_000003,45406,Bình An,res_country_district_00282
res_country_ward_000004,45407,An Lộc,res_country_district_00282
res_country_ward_000005,45408,Thịnh Lộc,res_country_district_00282
res_country_ward_000006,45409,Tân Lộc,res_country_district_00282
res_country_ward_000007,45410,Hồng Lộc,res_country_district_00282
res_country_ward_000008,45411,Ích Hậu,res_country_district_00282
res_country_ward_000009,45412,Phù Lưu,res_country_district_00282
res_country_ward_000010,45413,Lộc Hà,res_country_district_00282
res_country_ward_000011,45414,Thạch Kim,res_country_district_00282
res_country_ward_000012,45415,Thạch Châu,res_country_district_00282
res_country_ward_000013,45416,Thạch Mỹ,res_country_district_00282
res_country_ward_000014,45418,Hộ Đô,res_country_district_00282
res_country_ward_000015,45507,Xuân Hải,res_country_district_00289
res_country_ward_000016,45508,Xuân Phổ,res_country_district_00289
res_country_ward_000017,45509,Đan Trường,res_country_district_00289
res_country_ward_000018,45510,Xuân Trường,res_country_district_00289
res_country_ward_000019,45511,Xuân Hội,res_country_district_00289
res_country_ward_000020,45506,Tiên Điền,res_country_district_00289
res_country_ward_000021,45513,Xuân Yên,res_country_district_00289
res_country_ward_000022,45516,Xuân Mỹ,res_country_district_00289
res_country_ward_000023,45518,Xuân Liên,res_country_district_00289
res_country_ward_000024,45520,Xuân Viên,res_country_district_00289
res_country_ward_000025,45522,Xuân Lam,res_country_district_00289
res_country_ward_000026,45610,Thuận Lộc,res_country_district_00288
res_country_ward_000027,45710,Đức Quang,res_country_district_00284
res_country_ward_000028,45712,Đức Tùng,res_country_district_00284
res_country_ward_000029,45714,Tùng Ảnh,res_country_district_00284
res_country_ward_000030,45716,Bùi Xá,res_country_district_00284
res_country_ward_000031,45718,Yên Hồ,res_country_district_00284
res_country_ward_000032,45720,Lâm Trung Thủy,res_country_district_00284
res_country_ward_000033,45722,Trung Lễ,res_country_district_00284
res_country_ward_000034,45724,Đức Lâm,res_country_district_00284
res_country_ward_000035,45726,Hòa Lạc,res_country_district_00284
res_country_ward_000036,45728,Đức Lập,res_country_district_00284
res_country_ward_000037,45730,Đức An,res_country_district_00284
res_country_ward_000038,45732,Đức Lạng,res_country_district_00284
res_country_ward_000039,45807,Sơn Trung,res_country_district_00283
res_country_ward_000040,45811,Sơn Trà,res_country_district_00283
res_country_ward_000041,45813,Sơn Mỹ,res_country_district_00283
res_country_ward_000042,45816,An Hòa Thịnh,res_country_district_00283
res_country_ward_000043,45818,Sơn Thịnh,res_country_district_00283
res_country_ward_000044,45820,Sơn Tiến,res_country_district_00283
res_country_ward_000045,42632,Quảng Thạch,res_country_district_00338
res_country_ward_000046,42634,Quảng Trung,res_country_district_00338
res_country_ward_000047,42708,Ninh Hải,res_country_district_00336
res_country_ward_000048,42710,Định Hải,res_country_district_00336
res_country_ward_000049,42713,Hải An,res_country_district_00336
res_country_ward_000050,42715,Hải Ninh,res_country_district_00336
res_country_ward_000051,42717,Thanh Thủy,res_country_district_00336
res_country_ward_000052,42719,Ngọc Lĩnh,res_country_district_00336
res_country_ward_000053,42721,Hùng Sơn,res_country_district_00336
res_country_ward_000054,42723,Phú Sơn,res_country_district_00336
res_country_ward_000055,42725,Bình Minh,res_country_district_00336
res_country_ward_000056,42727,Hải Bình,res_country_district_00336
res_country_ward_000057,42729,Phú Lâm,res_country_district_00336
res_country_ward_000058,42733,Mai Lâm,res_country_district_00336
res_country_ward_000059,42735,Hải Yến,res_country_district_00336
res_country_ward_000060,42737,Hải Thượng,res_country_district_00336
res_country_ward_000061,40306,Bút Sơn,res_country_district_00337
res_country_ward_000062,40406,Hậu Lộc,res_country_district_00323
res_country_ward_000063,40506,Nga Sơn,res_country_district_00315
res_country_ward_000064,40806,Rừng Thông,res_country_district_00324
res_country_ward_000065,41006,Quán Lào,res_country_district_00331
res_country_ward_000066,41106,Vĩnh Lộc,res_country_district_00325
res_country_ward_000067,41207,Vân Du,res_country_district_00326
res_country_ward_000068,41406,Cành Nàng,res_country_district_00321
res_country_ward_000069,41606,Thọ Xuân,res_country_district_00333
res_country_ward_000070,35714,Yển Khê,res_country_district_00379
res_country_ward_000071,35716,Phương Lĩnh,res_country_district_00379
res_country_ward_000072,35718,Mạn Lạn,res_country_district_00379
res_country_ward_000073,35721,Chí Tiên,res_country_district_00379
res_country_ward_000074,95516,Tân Bình,res_country_district_00139
res_country_ward_000075,95518,Hòa An,res_country_district_00139
res_country_ward_000076,95520,Phương Phú,res_country_district_00139
