id,state_id/id,code,name
res_country_district_00001,base.state_vn_VN-02,3140,Si Ma Cai
res_country_district_00002,base.state_vn_VN-02,3150,Mường Khương
res_country_district_00003,base.state_vn_VN-02,3120,Bảo Thắng
res_country_district_00004,base.state_vn_VN-02,3180,Văn Bàn
res_country_district_00005,base.state_vn_VN-02,3170,Sa Pa
res_country_district_00006,base.state_vn_VN-02,3130,Bắc Hà
res_country_district_00007,base.state_vn_VN-02,3190,Bảo Yên
res_country_district_00008,base.state_vn_VN-02,3160,Bát Xát
res_country_district_00009,base.state_vn_VN-02,3110,Lào Cai
res_country_district_00010,base.state_vn_VN-66,,Đặc Biệt
res_country_district_00011,base.state_vn_VN-66,1730,Phù Cừ
res_country_district_00012,base.state_vn_VN-66,1760,Văn Lâm
res_country_district_00013,base.state_vn_VN-66,1765,Văn Giang
res_country_district_00014,base.state_vn_VN-66,1720,Tiên Lữ
res_country_district_00015,base.state_vn_VN-66,1770,Yên Mỹ
res_country_district_00016,base.state_vn_VN-66,1750,Mỹ Hào
res_country_district_00017,base.state_vn_VN-66,1780,Khoái Châu
res_country_district_00018,base.state_vn_VN-66,1740,Ân Thi
res_country_district_00019,base.state_vn_VN-66,1790,Kim Động
res_country_district_00020,base.state_vn_VN-66,1710,Hưng Yên
res_country_district_00021,base.state_vn_VN-14,3670,Yên Thủy
res_country_district_00022,base.state_vn_VN-14,3640,Mai Châu
res_country_district_00023,base.state_vn_VN-14,3680,Lạc Thủy
res_country_district_00024,base.state_vn_VN-14,3660,Lạc Sơn
res_country_district_00025,base.state_vn_VN-14,3690,Kim Bôi
res_country_district_00026,base.state_vn_VN-14,3650,Cao Phong
res_country_district_00027,base.state_vn_VN-14,3655,Tân Lạc
res_country_district_00028,base.state_vn_VN-14,3625,Lương Sơn
res_country_district_00029,base.state_vn_VN-14,4440,Kỳ Sơn
res_country_district_00030,base.state_vn_VN-14,3630,Đà Bắc
res_country_district_00031,base.state_vn_VN-14,3610,Hòa Bình
res_country_district_00032,base.state_vn_VN-05,3445,huyện Sốp Cộp
res_country_district_00033,base.state_vn_VN-05,3420,Mường La
res_country_district_00034,base.state_vn_VN-05,3465,Yên Châu
res_country_district_00035,base.state_vn_VN-05,3480,Vân Hồ
res_country_district_00036,base.state_vn_VN-05,3425,Quỳnh Nhai
res_country_district_00037,base.state_vn_VN-05,3460,Bắc Yên
res_country_district_00038,base.state_vn_VN-05,3430,Thuận Châu
res_country_district_00039,base.state_vn_VN-05,3440,Sông Mã
res_country_district_00040,base.state_vn_VN-05,3490,Phù Yên
res_country_district_00041,base.state_vn_VN-05,3470,Mộc Châu
res_country_district_00042,base.state_vn_VN-05,3450,Mai Sơn
res_country_district_00043,base.state_vn_VN-05,3410,Sơn La
res_country_district_00044,base.state_vn_VN-71,3280,Nậm Pồ
res_country_district_00045,base.state_vn_VN-71,3240,Mường Ảng
res_country_district_00046,base.state_vn_VN-71,3220,Điện Biên Đông
res_country_district_00047,base.state_vn_VN-71,3270,Mường Lay
res_country_district_00048,base.state_vn_VN-71,3250,Tuần Giáo
res_country_district_00049,base.state_vn_VN-71,3260,Tủa Chùa
res_country_district_00050,base.state_vn_VN-71,3290,Mường Nhé
res_country_district_00051,base.state_vn_VN-71,3275,Mường Chà
res_country_district_00052,base.state_vn_VN-71,3220,Điện Biên
res_country_district_00053,base.state_vn_VN-71,3220,Điện Biên Phủ
res_country_district_00054,base.state_vn_VN-01,3080,Than Uyên
res_country_district_00055,base.state_vn_VN-01,3070,Tân Uyên
res_country_district_00056,base.state_vn_VN-01,3020,Tam Đường
res_country_district_00057,base.state_vn_VN-01,3060,Sìn Hồ
res_country_district_00058,base.state_vn_VN-01,3030,Phong Thổ
res_country_district_00059,base.state_vn_VN-01,3050,Nậm Nhùn
res_country_district_00060,base.state_vn_VN-01,3040,Mường Tè
res_country_district_00061,base.state_vn_VN-01,3010,Lai Châu
res_country_district_00062,base.state_vn_VN-06,3320,Yên Bình
res_country_district_00063,base.state_vn_VN-06,3360,Trạm Tấu
res_country_district_00064,base.state_vn_VN-06,3370,Nghĩa Lộ
res_country_district_00065,base.state_vn_VN-06,3340,Văn Yên
res_country_district_00066,base.state_vn_VN-06,3380,Văn Chấn
res_country_district_00067,base.state_vn_VN-06,3390,Trấn Yên
res_country_district_00068,base.state_vn_VN-06,3350,Mù Căng Chải
res_country_district_00069,base.state_vn_VN-06,3330,Lục Yên
res_country_district_00070,base.state_vn_VN-06,3310,Yên Bái
res_country_district_00071,base.state_vn_VN-31,5590,Vân Canh
res_country_district_00072,base.state_vn_VN-31,5580,Tây Sơn
res_country_district_00073,base.state_vn_VN-31,5535,Phù Mỹ
res_country_district_00074,base.state_vn_VN-31,5570,Vĩnh Thạnh
res_country_district_00075,base.state_vn_VN-31,5560,Hoài Ân
res_country_district_00076,base.state_vn_VN-31,5520,Tuy Phước
res_country_district_00077,base.state_vn_VN-31,5550,An Lão
res_country_district_00078,base.state_vn_VN-31,5540,Hoài Nhơn
res_country_district_00079,base.state_vn_VN-31,5530,Phù Cát
res_country_district_00080,base.state_vn_VN-31,5525,An Nhơn
res_country_district_00081,base.state_vn_VN-31,5510,Quy Nhơn
res_country_district_00082,base.state_vn_VN-36,5970,Thuận Nam
res_country_district_00083,base.state_vn_VN-36,5930,Thuận Bắc
res_country_district_00084,base.state_vn_VN-36,5940,Bác Ái
res_country_district_00085,base.state_vn_VN-36,5960,Ninh Phước
res_country_district_00086,base.state_vn_VN-36,5920,Ninh Hải
res_country_district_00087,base.state_vn_VN-36,5950,Ninh Sơn
res_country_district_00088,base.state_vn_VN-36,,Phan Rang – Tháp Chàm
res_country_district_00089,base.state_vn_VN-32,5620,Tuy An
res_country_district_00090,base.state_vn_VN-32,5670,Tây Hòa
res_country_district_00091,base.state_vn_VN-32,5640,Đồng Xuân
res_country_district_00092,base.state_vn_VN-32,5680,Đông Hòa
res_country_district_00093,base.state_vn_VN-32,5650,Sơn Hòa
res_country_district_00094,base.state_vn_VN-32,5660,Sông Hinh
res_country_district_00095,base.state_vn_VN-32,5690,Phú Hòa
res_country_district_00096,base.state_vn_VN-32,5630,Thị Xã Sông Cầu
res_country_district_00097,base.state_vn_VN-32,5610,Tuy Hòa
res_country_district_00098,base.state_vn_VN-28,,Ia H Drai
res_country_district_00099,base.state_vn_VN-28,6030,Tu Mơ Rông
res_country_district_00100,base.state_vn_VN-28,6070,Sa Thầy
res_country_district_00101,base.state_vn_VN-28,6050,Ngọc Hồi
res_country_district_00102,base.state_vn_VN-28,6020,Kon Rẫy
res_country_district_00103,base.state_vn_VN-28,6065,Đắk Tô
res_country_district_00104,base.state_vn_VN-28,6040,Đắk Glei
res_country_district_00105,base.state_vn_VN-28,6060,Đắk Hà
res_country_district_00106,base.state_vn_VN-28,6025,Kon Plông
res_country_district_00107,base.state_vn_VN-28,6010,Kon Tum
res_country_district_00108,base.state_vn_VN-40,7760,Hàm Tân
res_country_district_00109,base.state_vn_VN-40,7780,Phú Quý
res_country_district_00110,base.state_vn_VN-40,7750,Tánh Linh
res_country_district_00111,base.state_vn_VN-40,7720,Tuy Phong
res_country_district_00112,base.state_vn_VN-40,7730,Bắc Bình
res_country_district_00113,base.state_vn_VN-40,7755,Đức Linh
res_country_district_00114,base.state_vn_VN-40,7765,La Gi
res_country_district_00115,base.state_vn_VN-40,7740,Hàm Thuận Bắc
res_country_district_00116,base.state_vn_VN-40,7770,Hàm Thuận Nam
res_country_district_00117,base.state_vn_VN-40,7710,Phan Thiết
