"id","shipping_type_id:id","code","name"
shipping_service_01,shipping_type_domestic_01,"GTG015","Hóa đơn"
shipping_service_02,shipping_type_domestic_01,"GTG021","Phát hàng thu tiền COD"
shipping_service_03,shipping_type_domestic_01,"GTG026","Chấp nhận tại địa chỉ"
shipping_service_04,shipping_type_domestic_01,"GTG067","Phát hàng 1 phần chiều đi( DOP1)"
shipping_service_05,shipping_type_domestic_01,"GTG068","Phát hàng 1 phần chiều đến"
shipping_service_06,shipping_type_domestic_01,"GTG070","Thu phí hủy đơn hàng"
shipping_service_07,shipping_type_domestic_01,"GTG071","Thu hộ phí ship"
shipping_service_08,shipping_type_domestic_02,"GTG008","Khai giá"
shipping_service_09,shipping_type_domestic_02,"GTG015","Hóa đơn"
shipping_service_10,shipping_type_domestic_02,"GTG021","Phát hàng thu tiền COD"
shipping_service_11,shipping_type_domestic_02,"GTG026","Chấp nhận tại địa chỉ"
shipping_service_12,shipping_type_domestic_02,"GTG067","Phát hàng 1 phần chiều đi( DOP1)"
shipping_service_13,shipping_type_domestic_02,"GTG068","Phát hàng 1 phần chiều đến"
shipping_service_14,shipping_type_domestic_02,"GTG070","Thu phí hủy đơn hàng"
shipping_service_15,shipping_type_domestic_02,"GTG071","Thu hộ phí ship"
shipping_service_16,shipping_type_domestic_03,"GTG008","Khai giá"
shipping_service_17,shipping_type_domestic_03,"GTG015","Hóa đơn"
shipping_service_18,shipping_type_domestic_03,"GTG021","Phát hàng thu tiền COD"
shipping_service_19,shipping_type_domestic_03,"GTG026","Chấp nhận tại địa chỉ"
shipping_service_20,shipping_type_domestic_03,"GTG067","Phát hàng 1 phần chiều đi( DOP1)"
shipping_service_21,shipping_type_domestic_03,"GTG068","Phát hàng 1 phần chiều đến"
shipping_service_22,shipping_type_domestic_03,"GTG070","Thu phí hủy đơn hàng"
shipping_service_23,shipping_type_domestic_03,"GTG071","Thu hộ phí ship"
shipping_service_24,shipping_type_domestic_04,"GTG008","Khai giá"
shipping_service_25,shipping_type_domestic_04,"GTG015","Hóa đơn"
shipping_service_26,shipping_type_domestic_04,"GTG021","Phát hàng thu tiền COD"
shipping_service_27,shipping_type_domestic_04,"GTG026","Chấp nhận tại địa chỉ"
shipping_service_28,shipping_type_domestic_04,"GTG067","Phát hàng 1 phần chiều đi( DOP1)"
shipping_service_29,shipping_type_domestic_04,"GTG068","Phát hàng 1 phần chiều đến"
shipping_service_30,shipping_type_domestic_04,"GTG070","Thu phí hủy đơn hàng"
shipping_service_31,shipping_type_domestic_04,"GTG071","Thu hộ phí ship"
shipping_service_32,shipping_type_domestic_06,"GTG008","Khai giá"
shipping_service_33,shipping_type_domestic_06,"GTG015","Hóa đơn"
shipping_service_34,shipping_type_domestic_06,"GTG021","Phát hàng thu tiền COD"
shipping_service_35,shipping_type_domestic_06,"GTG026","Chấp nhận tại địa chỉ"
shipping_service_36,shipping_type_domestic_06,"GTG067","Phát hàng 1 phần chiều đi( DOP1)"
shipping_service_37,shipping_type_domestic_06,"GTG068","Phát hàng 1 phần chiều đến"
shipping_service_38,shipping_type_domestic_06,"GTG070","Thu phí hủy đơn hàng"
shipping_service_39,shipping_type_domestic_06,"GTG071","Thu hộ phí ship"
shipping_service_40,shipping_type_domestic_07,"GTG008","Khai giá"
shipping_service_41,shipping_type_domestic_07,"GTG015","Hóa đơn"
shipping_service_42,shipping_type_domestic_07,"GTG021","Phát hàng thu tiền COD"
shipping_service_43,shipping_type_domestic_07,"GTG026","Chấp nhận tại địa chỉ"
shipping_service_44,shipping_type_domestic_07,"GTG067","Phát hàng 1 phần chiều đi( DOP1)"
shipping_service_45,shipping_type_domestic_07,"GTG068","Phát hàng 1 phần chiều đến"
shipping_service_46,shipping_type_domestic_07,"GTG070","Thu phí hủy đơn hàng"
shipping_service_47,shipping_type_domestic_07,"GTG071","Thu hộ phí ship"
shipping_service_48,shipping_type_domestic_08,"GTG008","Khai giá"
shipping_service_49,shipping_type_domestic_08,"GTG015","Hóa đơn"
shipping_service_50,shipping_type_domestic_08,"GTG021","Phát hàng thu tiền COD"
shipping_service_51,shipping_type_domestic_08,"GTG026","Chấp nhận tại địa chỉ"
shipping_service_52,shipping_type_domestic_08,"GTG067","Phát hàng 1 phần chiều đi( DOP1)"
shipping_service_53,shipping_type_domestic_08,"GTG068","Phát hàng 1 phần chiều đến"
shipping_service_54,shipping_type_domestic_08,"GTG070","Thu phí hủy đơn hàng"
shipping_service_55,shipping_type_domestic_08,"GTG071","Thu hộ phí ship"
